country,name,lat,long
Brazil,Brasilia,-15.783333333333333,-47.916667
Colombia,Bogota,4.6,-74.083333
Egypt,Cairo,30.05,31.250000
France,Paris,48.86666666666667,2.333333
Iraq,Baghdad,33.333333333333336,44.400000
South Korea,Seoul,37.55,126.983333
Mexico,Mexico City,19.433333333333334,-99.133333
Nepal,Kathmandu,27.716666666666665,85.316667
Portugal,Lisbon,38.71666666666667,-9.133333
United States,Washington DC,38.883333,-77.000000
Montevideo,-34.85,-56.166667
China,Anhui,31.8257,117.2264
Thailand, Bangkok,15,101,43
Japan,Tokyo,36,138,293
United Arab Emirates, Dubai,24,54,27
US,San Diego CA,32.7157,-117.1611,2
Kuwait, Kuwait City,29.5,47.75,56
Norway,Oslo,60.472,8.4689,32
Taiwan, Taipei,23.7,121,42
Canada,Toronto ON,43.6532,-79.3832,19
Dominican Republic,Santo Domingo,18.7357,-70.1627,1
Chile,Santiago,-35.6751,-71.543,1
Macau,Macau,22.1667,113.55,10
Greece,Athens,39.0742,21.8243,7
US,King County WA,47.6062,-122.3321,21
Australia,New South Wales,-33.8688,151.2093,13
Australia,Victoria,-37.8136,144.9631,9
Australia,Queensland,-28.0167,153.4,11
Australia,South Australia,-34.9285,138.6007,3
Australia,Western Australia,-31.9505,115.8605,2

